Smiles,Target Name,Standard Value
CON(C)C(=O)c1ccn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc2c1,Serine/threonine-protein kinase AKT2,305.0
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1cccc(Br)c1O,Serine/threonine-protein kinase AKT,22.0
O=C(Nc1ccc(Oc2ccnc(NC(=O)C3CC3)c2)c(F)c1)Nc1cc(Cl)ccc1F,Vascular endothelial growth factor receptor 2,7.6
Cc1[nH]nc2[nH]c(=O)cc([C@@H]3C[C@@H]4C[C@H]3C[C@@H]4CC#N)c12,Tyrosine-protein kinase JAK3,220.0
COc1ccc(F)cc1-c1ccnc2[nH]c(C3=C[C@H](CO)N(CC(=O)N(C)C)CC3)cc12,Cyclin-dependent kinase 9,115.0
Cc1ccoc1C(=O)Nc1cccc(Oc2ccnc(-c3ccc[nH]3)c2)c1,Vascular endothelial growth factor receptor 2,70.0
CCCS(=O)(=O)Nc1ccc(F)c(-c2cc3cnc(N)cc3cc2OC)c1F,Serine/threonine-protein kinase B-raf,0.8
Cc1ccc(NC(=O)c2ccc(C(=O)NO)cc2)cc1Nc1ncc(-c2cccnc2)s1,Tyrosine-protein kinase ABL,8800.0
COc1ccc(CNc2nc(C#CC3(O)CCCCCC3)nc3c2ncn3C(C)C)cc1,Cyclin-dependent kinase 1,500.0
CCN(CC)CCNC(=O)c1ccc2nc(-c3ccc(CN4CCC(n5c(=O)[nH]c6ccccc65)CC4)cc3)c(-c3ccccc3)nc2c1,Serine/threonine-protein kinase AKT3,8000.0
Cn1cc(/C=C2\C(=O)NN=C2c2cnns2)c2cc(Br)ccc21,Vascular endothelial growth factor receptor 2,110.0
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-n2ncc3cc(C#N)cnc32)cc1N[C@H]1CC[C@H](C(C)(C)O)CC1,Interleukin-1 receptor-associated kinase 4,4.0
Cc1nnnn1-c1ccc(C(=O)NCc2cccc(C(=O)Nc3ccc4c(c3)CN(C)CC4)c2)cc1,Rho-associated protein kinase 2,43.5
O=C(Nc1cccc(C(F)(F)F)c1)c1cccc(N2CCc3ncncc3C2)c1,Vascular endothelial growth factor receptor 2,19.0
CNc1nc2c(cc(C(=O)N(C3CC3)C3CC3)n2CCCO)c2c1ncn2C,Tyrosine-protein kinase JAK3,130.0
CCCC(=O)Nc1n[nH]c2c(F)c(Cl)c(-c3ccccc3)cc12,Cyclin-dependent kinase 2,3160.0
Cc1ccc(NS(=O)(=O)CCC(F)(F)F)cc1Nc1ncnc2cnc(N3CCN(C)CC3)nc12,Serine/threonine-protein kinase B-raf,2000.0
Cn1cc(-n2cnc3c(NCc4nc5cc(Cl)c(Cl)cc5[nH]4)nc(N4CCOCC4)nc32)cn1,Cyclin-dependent kinase 9,10000.0
Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1-c1cc(C2CCOCC2)nc(N2CCOCC2)c1,Serine/threonine-protein kinase B-raf,1.626
COc1cc(OC)cc(N(CC(O)CNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,Vascular endothelial growth factor receptor 2,3388.44
COc1cc2c(Nc3ccc(Br)c(Cl)c3Cl)ncnc2cc1OC[C@H]1CN2CCCC[C@H]2CO1,Vascular endothelial growth factor receptor 2,50.0
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2ccc(N)nc2)c1F,Serine/threonine-protein kinase B-raf,917.0
CN1CCc2nc(NC(=O)c3cccc(C4CCCN(C(=O)Nc5cccc(C#N)c5)C4)c3)sc2C1,Rho-associated protein kinase 2,77.5
Cc1noc(C)c1NC(=O)Nc1cccc(-c2csc3c(-c4cccnc4)cnc(N)c23)c1,Serine/threonine-protein kinase B-raf,692.0
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,Serine/threonine-protein kinase B-raf,25.0
O=C(Nc1ccc(SC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cncnc2)c1,Tyrosine-protein kinase ABL,2.0
CNC(=O)c1cnc(Nc2ccc3ncsc3c2)cc1N[C@H](CO)Cc1ccccc1,Interleukin-1 receptor-associated kinase 4,10.0
C=CC(=O)N1CCC[C@@H](Oc2nc(Nc3ccc(N4CCOCC4)cc3)nc3[nH]cc(-c4cncc(NC)n4)c23)C1,Tyrosine-protein kinase JAK3,11.0
COc1ccc(-c2c[nH]c3c2-n2cccc2/C3=N/O)cc1OCc1ccccc1,Cyclin-dependent kinase 5,14000.0
CN1Cc2c(C3=CCCN(C4CCC(=CC(=O)O)CC4)CC3)[nH]c3nccc(c23)-c2cc(F)ccc21,Cyclin-dependent kinase 9,130.0
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,Tyrosine-protein kinase JAK3,20.7
COc1cc(O)c2c(=O)cc(-c3ccc(N4CCN(C)CC4)cc3)oc2c1N1CCNCC1,Cyclin-dependent kinase 9,30.0
COc1ccccc1-c1ccc(CNc2nc(NC3CCC(N)CC3)nc3c2ncn3C2CCCC2)cn1,Cyclin-dependent kinase 1,118.0
CCOC(Cn1nc(-c2cnc3[nH]ccc3c2)c2c(N)ncnc21)OCC,Tyrosine-protein kinase ABL,1210.0
CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,Serine/threonine-protein kinase B-raf,0.4
Nc1n[nH]c2cccc(-c3ccc(NS(=O)(=O)c4ccccc4)cc3)c12,Vascular endothelial growth factor receptor 2,4620.0
CC(C)(C)c1cc(NC(=O)n2ccc3ccc(Oc4ncnc5c4CNC5)cc32)no1,Vascular endothelial growth factor receptor 2,3.0
Cn1cc(-c2cnc3[nH]cc(-c4cnn(Cc5ccc(F)cc5)c4)c3c2)cn1,ALK tyrosine kinase receptor,3011.0
Oc1cccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,Tyrosine-protein kinase ABL,180.0
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(N5CCCC5)cc34)c2)cc1C(F)(F)F,Serine/threonine-protein kinase B-raf,316.0
COc1ccc(C2CC2)cc1-c1ccnc2[nH]c(C3CCCNC3)cc12,Cyclin-dependent kinase 9,4700.0
CN1CCN(c2ccc3[nH]c(-c4c(N)c5cc(Cl)ccc5[nH]c4=O)nc3c2)CC1,Vascular endothelial growth factor receptor 2,43.0
CC(C)(C)c1cc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)no1,Rho-associated protein kinase 2,5.0
CNC(=O)N1CCOc2cc(Oc3ccnc4cc(OC)c(OC)cc34)ccc21,Vascular endothelial growth factor receptor 2,39.81
O=C(Nc1ccc(Cl)cc1)Nc1ccc(/N=C2\C(=O)Nc3ccc(Cl)cc32)cc1,Vascular endothelial growth factor receptor 2,710.0
CC(C)Nc1cc(-n2ncc3cc(C#N)cnc32)ncc1C(=O)NCC(F)C1(O)COC1,Interleukin-1 receptor-associated kinase 4,3.6
O=C(Nc1ccc(-c2cn[nH]c2)cc1)C1COc2ccc(F)cc2C1,Rho-associated protein kinase 2,4.0
COc1ccc(Br)cc1NC(=O)Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1,Vascular endothelial growth factor receptor 2,100.0
CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3ccc(C(F)(F)F)cc3)c2)n1,Serine/threonine-protein kinase B-raf,63.0
CNc1cc(Oc2ccc(NC(=O)Nc3cccc(C(C)(F)F)c3)cc2)ncn1,Serine/threonine-protein kinase B-raf,500.0
CN1C[C@@H]2C[C@H]1CN2c1c(F)c(F)c(-c2ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn23)c(F)c1F,Serine/threonine-protein kinase B-raf,0.35
COc1cc2c(cc1Nc1ncc(Cl)c(Nc3ccc(N4CCOCC4)cc3OC)n1)CCN(CC(F)F)CC2,ALK tyrosine kinase receptor,58.0
NCCCOc1cncc(/C=C/c2ccncc2)c1,Serine/threonine-protein kinase AKT,14710.0
Cc1cccc(NC(=O)Nc2ccc(-c3c(CN(C)C)sc4ncnc(N)c34)cc2)c1,Vascular endothelial growth factor receptor 2,180.0
CN1CCN(CCCNc2cncc(-c3cncc(Nc4cccc(Cl)c4)n3)c2)CC1,Vascular endothelial growth factor receptor 2,123.0
CNS(=O)(=O)c1ccc(N2CCOCC2)c(Nc2ncnc3[nH]cc(Cl)c23)c1,Serine/threonine-protein kinase B-raf,0.6
O=C(Nc1nc2cc(C3(O)c4ccccc4C(=O)N3Cc3ccccc3)ccc2[nH]1)OC1CCCCC1,Serine/threonine-protein kinase B-raf,100.0
Cc1ccc(CC(=O)Nc2ccc3[nH]c(-c4ccc(Cl)cc4)nc3c2)cc1,Vascular endothelial growth factor receptor 2,73.7
COc1cc(C2=C(c3cn(CC(O)CO)c4ccccc34)CNC2=O)cc(OC)c1OC,Vascular endothelial growth factor receptor 2,4200.0
O=c1[nH]c(C2CCN(c3cnccn3)CC2)nc(N[C@@H]2CCCNC2)c1-c1nc2ccccc2s1,Interleukin-1 receptor-associated kinase 4,180.0
C[C@@H](Nc1ncnc2c1cc(-c1ccc(C(=O)NCCNCCCCCCC(=O)NO)cc1)n2C)c1ccccc1,Vascular endothelial growth factor receptor 2,1000.0
COc1cc2nccc(CN3CCc4c(cccc4C(=O)Nc4ccccn4)C3)c2cc1OC,Vascular endothelial growth factor receptor 2,225.0
c1nc(OCC2CCCCC2)c2nc[nH]c2n1,Cyclin-dependent kinase 2,13000.0
Nc1n[nH]c2nccc(-c3ccc(NC(=O)Nc4ccc(F)c(Cl)c4)cc3)c12,Vascular endothelial growth factor receptor 2,5.1
O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CCC[C@@H](O)C2)c(-c2cccnc2)c1,Tyrosine-protein kinase ABL,5.0
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(Cl)cc23)c1F,Serine/threonine-protein kinase B-raf,13.0
Cc1cc(NC(=O)c2c(NCc3ccncc3)ncn2C)ccc1C(F)(F)F,Vascular endothelial growth factor receptor 2,510.0
O=C(Nc1nc2ccccc2n1CCCO)c1cccc([N+](=O)[O-])c1,Interleukin-1 receptor-associated kinase 4,150.0
Clc1ccc2c(c1)CC(c1nc3ccc(-c4cn[nH]c4)cc3s1)CO2,Rho-associated protein kinase 2,75.0
C[C@@H]1CNc2c(sc3ccc4nc(Cl)ccc4c23)C(=O)N1,Cyclin-dependent kinase 1,25.0
COc1cc(-c2ccc3ncnc(Nc4ccc(C(=O)O)cc4O)c3c2)ccc1O,Serine/threonine-protein kinase B-raf,494.2
COc1cc2ncnc(Oc3ccc(NC(=O)NC4CCCCC4)cc3)c2cc1OC,Vascular endothelial growth factor receptor 2,1000.0
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2ccc(N)nc2)c1F,Serine/threonine-protein kinase B-raf,920.0
COc1cc2c(Nc3ccc(C#N)cc3F)ncnc2cc1OC/C=C/CN1CCCC1,Vascular endothelial growth factor receptor 2,230.0
O=C(Nc1ccc(CC(F)(F)F)cc1)c1cccc(-c2cncnc2)c1,Tyrosine-protein kinase ABL,233.0
c1cc(-c2cnc3c(-c4ccncc4)cnn3c2)ccn1,Vascular endothelial growth factor receptor 2,224.0
O=c1[nH]cccc1Nc1ncc2[nH]c(=O)n([C@@H]3CCOc4c(F)cccc43)c2n1,Tyrosine-protein kinase JAK3,2.8
CN(C)C(=O)Nc1ccc2[nH]ncc2c1,Rho-associated protein kinase 2,36100.0
CN(C)CCCC(=O)Nc1ccc(C(=O)Nc2cccc(Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)c2)cc1,Cyclin-dependent kinase 7,194.0
N#Cc1cnc(Nc2cccc(CN3CCOCC3)c2)nc1-c1ccccc1,Vascular endothelial growth factor receptor 2,360.0
CC(C)n1ncc2ccc(Nc3nc(N[C@H]4[C@@H](C(N)=O)[C@@H]5C=C[C@H]4C5)c4c(ccn4C)n3)cc21,Interleukin-1 receptor-associated kinase 4,4.1
COc1cc(C(=O)NCc2ccccc2C)ccc1-c1cn[nH]c1,Rho-associated protein kinase 2,2.13
COC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccc(C)nc34)CC2)CC1,Interleukin-1 receptor-associated kinase 4,180.0
CCOC(=O)N=S(C)(=O)c1ccc(Nc2ncc(Br)c(N[C@@H](COC)[C@H](C)O)n2)cc1,Cyclin-dependent kinase 1,110.0
CCNC(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)c1c[nH]c(-c2cc(Oc3ccc(NC(=O)Nc4cccc(C)c4)c(F)c3)ccn2)c1,Vascular endothelial growth factor receptor 2,24.0
Nc1ncccc1-c1nc2ccc(-c3cccnc3)nc2n1-c1ccc(CNC(=O)c2ccccc2)cc1,Serine/threonine-protein kinase AKT2,32.0
O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,Vascular endothelial growth factor receptor 2,20.0
Cc1c[nH]c2ncnc(N3CCC(CN)(C(=O)Nc4cccc(OC(=O)N(C)C)c4)CC3)c12,Rho-associated protein kinase 2,10.0
Cc1cc(NC(=O)c2cccc3cc(-c4cccc5[nH]nc(N)c45)ccc23)no1,Vascular endothelial growth factor receptor 2,5.7
CC(C)Nc1cc(-n2ncc3cc(C#N)c(N)nc32)ncc1C(=O)NCC1CC1C(C)(C)O,Interleukin-1 receptor-associated kinase 4,13.5
CC[C@H]1CN(C(=O)C2(C#N)CC2)C[C@H]1Nc1c(C(N)=O)cnn2cc(-c3cnn(CC)c3)nc12,Tyrosine-protein kinase JAK3,1.0
Cc1cnc(NC(=O)Nc2ccc(-c3cc(NC(=O)c4ccc(N5CCN(C)CC5)cc4)[nH]n3)cc2)s1,Vascular endothelial growth factor receptor 2,35.0
COC(=O)C1(c2ccc(-n3c(-c4cccnc4N)nc4ccc(-c5ccccc5)nc43)cc2)CCC1,Serine/threonine-protein kinase AKT,540.0
C[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(Cl)cc1,Tyrosine-protein kinase JAK3,81.0
COc1cccc2c1OCn1c-2nc(-c2ccc(C3(N)CC(O)(C4CC4)C3)cc2)c1-c1ccccc1,Serine/threonine-protein kinase AKT2,2.0
CCC(CO)Nc1nc(Nc2cccc(-c3ccccn3)c2)c2ncn(C(C)C)c2n1,Cyclin-dependent kinase 5,80.0
Cc1ccccc1Cc1cc2c(Nc3cccc(Br)c3)nc(N)nc2[nH]1,Vascular endothelial growth factor receptor 2,250.0
O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CCNC3(CC3)C2)c(-c2ccn[nH]2)c1,Tyrosine-protein kinase ABL,2.9
CCOc1cc(C(=O)N[C@H](CO)c2ccccc2)ccc1-c1cn[nH]c1,Rho-associated protein kinase 2,11.4
C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,Tyrosine-protein kinase JAK3,1.6
Cc1cccc(C)c1S(=O)(=O)N1CCC[C@@H]1[C@@H](O)CN1CCC[C@@]2(CCN(c3ncnc(N)c3C3CC3)C2)C1,Serine/threonine-protein kinase AKT,19.0
OCCNc1cncc(-c2cncc(Nc3cccc(Cl)c3)n2)c1,Vascular endothelial growth factor receptor 2,275.42
CCCNC(=O)c1ccc(Nc2nc(NCC(F)(F)F)c3cc[nH]c3n2)cc1,Rho-associated protein kinase 2,248.0
O=C1NC(=S)NC(=O)C1=Cc1ccc(-c2ccc(Br)cc2)o1,Serine/threonine-protein kinase B-raf,470.0
Cc1ccc(-n2nc(N3CCN(C)CC3)cc2NC(=O)c2cnn3cccnc23)nc1,Interleukin-1 receptor-associated kinase 4,83.0
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,ALK tyrosine kinase receptor,0.74
COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC,Vascular endothelial growth factor receptor 2,50.0
Cn1c(CNc2cccc(C(=O)NCc3ccc(C(F)(F)F)cc3)c2)nnc1-c1ccncc1,Rho-associated protein kinase 2,620.0
CC1CN(c2ncnc3[nH]ccc23)CC2(CCN2C(=O)CC#N)C1,Tyrosine-protein kinase JAK3,58.0
CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@@H]3O)CC1)c1ccc(Cl)cc1,Serine/threonine-protein kinase AKT,740.0
Cn1cc2ccc(Nc3n[nH]c4cc(-c5cnn(CC(=O)Nc6ccc(Cl)c(C(F)(F)F)c6)c5)ccc34)cc2n1,Vascular endothelial growth factor receptor 2,249.0
CC(C)n1nc(-c2cccc(S(N)(=O)=O)c2)c2c(N)ncnc21,Vascular endothelial growth factor receptor 2,4600.0
CC[C@H](Nc1nc(NCc2cccnc2)c2ncn(C(C)C)c2n1)[C@@H](C)O,Cyclin-dependent kinase 1,2200.0
COc1cc2nccc(CN3CCc4c(cccc4C(=O)Nc4cccc(C(F)(F)F)c4)C3)c2cc1OC,Vascular endothelial growth factor receptor 2,1.0
O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)Nc1ccc(Br)cc1,Tyrosine-protein kinase ABL,290.0
O=C(/C=C/c1nc2cc(F)ccc2[nH]1)c1c(-c2ccccc2)c2cc(Cl)ccc2[nH]c1=O,Serine/threonine-protein kinase AKT3,1640.0
COc1cc(Nc2ncc3c(n2)CCN(C(=O)c2cccs2)C3)cc(OC)c1OC,Vascular endothelial growth factor receptor 2,8.0
COc1cc(OC)cc(N(CC2CC2)c2ccc3ncc(-c4cnn(CCC5CCNCC5)c4)nc3c2)c1.Cl,Vascular endothelial growth factor receptor 2,5370.32
COc1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c2c1,Serine/threonine-protein kinase B-raf,400.0
CN(C)CCCOc1ccc(-c2ccc3nnc4c(c3c2)n(C2CCOCC2)c(=O)n4C)cn1,Serine-protein kinase ATM,22.0
CC(=O)Nc1ccc(C(C)C(=O)Nc2ncc(C(C)C)s2)cc1,Cyclin-dependent kinase 2,31.0
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]nnc34)cc2F)cc1,Serine/threonine-protein kinase B-raf,1370.0
O=C(Nc1nc(-c2ccncc2)cs1)N[C@@H](CO)c1ccccc1,Rho-associated protein kinase 2,2500.0
O=C(CSc1nc2ccccc2n2cnnc12)Nc1ccc(C(=O)NNC(=O)c2ccc([N+](=O)[O-])cc2)cc1,Vascular endothelial growth factor receptor 2,34.9
CN1CCN(Cc2ccc(-c3cnc4[nH]cc(-c5ccc6[nH]ccc6c5)c4c3)cc2)CC1,Tyrosine-protein kinase ABL,3.0
Cc1ccc(C2=Nc3c(N)ncnc3NCC2)cc1,Vascular endothelial growth factor receptor 2,4000.0
COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc2c(c1)N(C(=O)Cn1cccn1)CC2)c1ccccc1,Vascular endothelial growth factor receptor 2,300.0
COc1cc(C(=O)N[C@H](C)c2ccc3c(c2)CCO3)ccc1-c1cn[nH]c1,Rho-associated protein kinase 2,27.0
Nc1nc(NC2CCCC2)cc(-c2cc(N3C[C@H](O)[C@@H](O)C3)ccc2O)n1,Cyclin-dependent kinase 1,19.0
Cc1cccc(Nc2nnc(-c3cccnc3CCc3ccncc3)o2)c1,Vascular endothelial growth factor receptor 2,770.0
COc1ccc(/C(C)=N/Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)cc1,ALK tyrosine kinase receptor,4.9
COc1cc(OC)cc(N(CCCN2CCCC2)c2ccc3ncc(-c4cnn(CCS(C)(=O)=O)c4)nc3c2)c1,Vascular endothelial growth factor receptor 2,25.12
COc1cc(Nc2ncc(Br)c(N[C@H](C)[C@H](C)O)n2)ccc1S(C)(=N)=O,Cyclin-dependent kinase 2,3.0
Cc1ccc(NC(=O)Nc2cccc(C#Cc3cncc(C(=O)N=S(C)(C)=O)c3)c2)cc1,Vascular endothelial growth factor receptor 2,6.0
C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12.O=C(O)CC(O)(CC(=O)O)C(=O)O,Tyrosine-protein kinase JAK3,5798.0
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@H]3CCO)nc12,Cyclin-dependent kinase 5,5.0
CN(C)C/C=C/C(=O)Nc1cccc(C(=O)Nc2cccc(Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)c2)c1,Cyclin-dependent kinase 1,96.9
COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,Vascular endothelial growth factor receptor 2,4.0
Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cncc4c3c(N)nn4C)cc2)c1,Vascular endothelial growth factor receptor 2,7.7
O=C(Nc1ccc(-c2ccncc2)cc1)N[C@H](CO)c1ccccc1,Rho-associated protein kinase 2,52.0
Cc1ccccc1NC(=O)NCc1ccc(-c2n[nH]c3c2Cc2ccc(CN4CCN(C)CC4)cc2-3)s1,Vascular endothelial growth factor receptor 2,159.0
CS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1,Cyclin-dependent kinase 2,5.7
Cc1ccc(NC(=O)c2ccnc(C(F)(F)F)c2)cc1-c1cc(OCCO)nc(N2CCOCC2)c1,Serine/threonine-protein kinase B-raf,78.0
COc1ccc(-c2cc(NC(=O)c3cnn4cccnc34)n(-c3ccc(C)cc3)n2)cn1,Interleukin-1 receptor-associated kinase 4,310.0
CCn1cnc2c(Nc3cccc(OC)c3)nc(NCCO)nc21,Cyclin-dependent kinase 1,1000.0
CC(=O)Nc1cnc2c(ccn2-c2cc(NC(C)C)c(C(=O)NC[C@@H](F)C(C)(C)O)cn2)c1,Interleukin-1 receptor-associated kinase 4,23.2
CC(C)(CO)NCCOc1ccc2c(c1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,ALK tyrosine kinase receptor,3.595
Cc1[nH]c(-c2ccccc2)c(-c2ccccc2)c1-c1nnc(C)c2nn(-c3ccc(Cl)cc3)cc12,Vascular endothelial growth factor receptor 2,2390.0
O=c1[nH]c2cccc(Oc3cccc(NS(=O)(=O)Cc4cccc(C(F)(F)F)c4)c3)c2[nH]1,Serine/threonine-protein kinase B-raf,17800.0
COC(=O)N[C@@H](C)CNc1nccc(-c2nc(C3CC3)[nH]c2-c2cc(Cl)cc(NS(=O)(=O)c3ccc(F)cc3)c2F)n1,Serine/threonine-protein kinase B-raf,1.0
CC(N)c1ccc(C(=O)Nc2ccncc2)cc1-c1ccc(F)cc1,Rho-associated protein kinase 2,1.2
CCNC(=O)Nc1nc2nc(NCCCCN(CC)CC)ncc2cc1-c1cc(OC)cc(OC)c1,Vascular endothelial growth factor receptor 2,190.0
C[C@@H]1CN(c2ccc(C#N)cn2)C[C@@H]1Nc1c(C(N)=O)cnn2cc(-c3cnn(C[C@@H](C)O)c3)nc12,Tyrosine-protein kinase JAK3,1.0
CN(C)CC(=O)N1CCN(c2ncc3cc(-c4ccccc4)c(-c4ccc(CN5CCC(c6nnc(-c7ccccn7)[nH]6)CC5)cc4)nc3n2)CC1,Serine/threonine-protein kinase AKT,3.0
CC(C)(C)c1nc2c3ccc(F)cc3c3c(=O)[nH]ccc3c2[nH]1,Tyrosine-protein kinase JAK3,5.0
Cc1ccc(C(=O)Nc2ccc(OC(F)(F)F)cc2)cc1-c1cncnc1,Tyrosine-protein kinase ABL,8.5
FC(F)(F)c1cc(Nc2nnc(Cc3ccncc3)c3ccccc23)ccc1Cl,Vascular endothelial growth factor receptor 2,300.0
CC(C)n1cc(-c2ccnc3[nH]c(C4CCN(CC(F)F)CC4)cc23)ccc1=O,Cyclin-dependent kinase 9,110.0
CC1CN(C(=O)CC#N)C12CCCN(c1ncnc3[nH]ccc13)C2,Tyrosine-protein kinase JAK3,3.4
Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,Vascular endothelial growth factor receptor 2,1400.0
CCn1c(-c2nonc2N)nc2cncc(CNC3CCNCC3)c21,Serine/threonine-protein kinase AKT,200.0
Cc1cnc(Nc2ccc3c(c2)CCN(C(=O)/C=C/C(=O)c2ccccc2)C3)nc1-c1cnn(C(C)C)c1,Tyrosine-protein kinase JAK3,120.0
CC(C)Nc1cc(Nc2ccc3ncsc3c2)ncc1-c1nnc(C(=O)N2CCC(O)C2)s1,Interleukin-1 receptor-associated kinase 4,2.8
CCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1Cl,Vascular endothelial growth factor receptor 2,500.0
COc1cc(OC)c(C)c(N(CCO)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1,Vascular endothelial growth factor receptor 2,32.36
COc1ccc(N2CCN(c3c(CO)c(=O)oc4ccccc34)CC2)cc1,Serine/threonine-protein kinase B-raf,1840.0
C=CC(=O)Nc1ccc(C(=O)Nc2ccc(C)c(Nc3nccc(-c4cccnc4)n3)c2)cc1C(F)(F)F,Vascular endothelial growth factor receptor 2,3000.0
CCc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1,Tyrosine-protein kinase ABL,2.36
NC(=O)c1cc(-c2ccccc2)sc1Nc1cccnc1,Tyrosine-protein kinase JAK3,28500.0
O=c1[nH]c2cccc(Oc3cccc(NS(=O)(=O)c4cccc(OC(F)(F)F)c4)c3)c2[nH]1,Serine/threonine-protein kinase B-raf,94000.0
CCC(C)(C)c1cccc(C(=O)Nc2cccc(Oc3cccc4[nH]c(=O)[nH]c34)c2)c1,Serine/threonine-protein kinase B-raf,3100.0
COc1cccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5C[C@@H]6C[C@H]5CN6C)cc4)ccnc23)c1,Serine/threonine-protein kinase B-raf,8.2
CN(Cc1cccc(-c2cccn3nc(Nc4ccc(OCCN5CCCC5)cc4)nc23)c1)S(C)(=O)=O,Tyrosine-protein kinase JAK3,287.19
CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(NC(=O)c4ccccc4)ccc3c1C2=O,ALK tyrosine kinase receptor,424.84
O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@H](CO)C2)c(-c2ccc(CF)nc2)c1,Tyrosine-protein kinase ABL,1.1
CCOc1nn(C2CCN(C(C)=O)CC2)cc1Nc1ncc(Cl)c(-c2cnn3ccccc23)n1,Cyclin-dependent kinase 2,545.0
NC(=O)[C@@H]1[C@H](Nc2nc(Nc3cccc(C(=O)N4CCCC4)c3)nc3[nH]ncc23)[C@H]2C=C[C@@H]1C2,Interleukin-1 receptor-associated kinase 4,4.0
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(N[C@H]2CC[C@H](N)CC2)ncn1,Vascular endothelial growth factor receptor 2,609.0
CN(C)c1ccc(/C=N/NC(=O)Cn2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)cc1,Vascular endothelial growth factor receptor 2,0.023
O=Nc1c(-c2c(O)[nH]c3c(Br)cccc23)[nH]c2ccccc12,Cyclin-dependent kinase 5,33000.0
